country,show_id,continent,market_type
Germany,80016401,Europe,Primary
South Africa,80182274,Other,Primary
United States,80182274,North America,Primary
United States,81145628,North America,Primary
United Kingdom,80117401,Europe,Primary
United States,70234439,North America,Primary
United States,80058654,North America,Primary
United States,80125979,North America,Primary
Spain,80163890,Europe,Primary
Bulgaria,70304989,Other,Primary
Chile,80164077,Other,Primary
United States,80117902,North America,Primary
United States,70304990,North America,Primary
Netherlands,70299204,Other,Primary
France,80057969,Europe,Primary
United States,80060297,North America,Primary
France,80046728,Europe,Primary
United States,80046727,North America,Primary
United States,70304988,North America,Primary
United States,80057700,North America,Primary
United States,80045922,North America,Primary
"United States,",80203094,Other,Primary
Thailand,70241607,Other,Primary
China,80988892,Other,Primary
United States,80239639,North America,Primary
Belgium,80159586,Other,Primary
Belgium,80152447,Other,Primary
India,81154455,Asia,Primary
India,81052275,Asia,Primary
France,80178151,Europe,Primary
United States,80058026,North America,Primary
India,70303496,Asia,Primary
United Kingdom,80162141,Europe,Primary
United Kingdom,80095641,Europe,Primary
United States,80159880,North America,Primary
Thailand,81016044,Other,Primary
Thailand,80158838,Other,Primary
Thailand,81016045,Other,Primary
Thailand,70142798,Other,Primary
Thailand,70062814,Other,Primary
Thailand,80158839,Other,Primary
United States,80147760,North America,Primary
United States,80177405,North America,Primary
United States,80113482,North America,Primary
Pakistan,81160036,Other,Primary
Canada,81173255,North America,Primary
United States,81078908,North America,Primary
India,81155784,Asia,Primary
United States,80201906,North America,Primary
United Kingdom,80052612,Europe,Primary
United States,80113641,North America,Primary
United Kingdom,81054495,Europe,Primary
United States,80996949,North America,Primary
United States,80239337,North America,Primary
United States,70212504,North America,Primary
United States,81011682,North America,Primary
United States,80128317,North America,Primary
United States,81027384,North America,Primary
United States,80030186,North America,Primary
United States,80116921,North America,Primary
South Korea,80187061,Asia,Primary
United Kingdom,80181555,Europe,Primary
Denmark,80081155,Other,Primary
United Kingdom,80198585,Europe,Primary
Turkey,70233894,Other,Primary
Brazil,81011955,South America,Primary
United States,80128722,North America,Primary
United States,80182115,North America,Primary
United States,80104068,North America,Primary
United Kingdom,80199032,Europe,Primary
United States,80019931,North America,Primary
Denmark,80200087,Other,Primary
Indonesia,81002850,Other,Primary
China,81004470,Other,Primary
United States,80157072,North America,Primary
United States,81001809,North America,Primary
United States,80201933,North America,Primary
Indonesia,81002864,Other,Primary
