director,show_id,directing_style,active_years
Richard Finn,81145628,Drama,2010-Present
Fernando Lebrija,80125979,Drama,2010-Present
Gabe Ibáñez,70304989,Drama,2010-Present
Rodrigo Toro,80164077,Drama,2010-Present
Henrik Ruben Genz,70304990,Drama,2010-Present
José Miguel Contreras,80169755,Drama,2010-Present
Daniel Alfredson,70299204,Drama,2010-Present
Munjal Shroff,80182483,Drama,2010-Present
Munjal Shroff,80182596,Drama,2010-Present
Tilak Shetty,80182482,Drama,2010-Present
Tilak Shetty,80182597,Drama,2010-Present
Munjal Shroff,80182621,Drama,2010-Present
Gaspar Noé,80057969,Drama,2010-Present
Tom O'Brien,80060297,Drama,2010-Present
Antoine Bardou-Jacquet,80046728,Drama,2010-Present
Mitch Dickman,80046727,Drama,2010-Present
Brad Anderson,70304988,Drama,2010-Present
Austin Stark,80057700,Drama,2010-Present
Hannah Fidell,80045922,Drama,2010-Present
Madeleine Gavin,80203094,Drama,2010-Present
Sopon Sukdapisit,70241607,Drama,2010-Present
Kevin R. Adams,80988892,Drama,2010-Present
Ian Samuels,80239639,Drama,2010-Present
Franck Ribière,80159586,Drama,2010-Present
Daniele Thompson,80152447,Drama,2010-Present
Anubhav Sinha,81154455,Drama,2010-Present
Maha Venkatesh,81113928,Drama,2010-Present
Tharun Bhascker,81052275,Drama,2010-Present
Şenol Sönmez,81132437,Drama,2010-Present
Tom Gianas,80058026,Drama,2010-Present
Rajkumar Hirani,70303496,Drama,2010-Present
Robert Osman,80162141,Drama,2010-Present
Jon Spira,80095641,Drama,2010-Present
Mez Tharatorn,80159880,Drama,2010-Present
Adisorn Tresirikasem,81016044,Drama,2010-Present
Mez Tharatorn,80158838,Drama,2010-Present
Banjong Pisanthanakun,81016045,Drama,2010-Present
Banjong Pisanthanakun,70142798,Drama,2010-Present
Banjong Pisanthanakun,70062814,Drama,2010-Present
Chayanop Boonprakob,80158839,Drama,2010-Present
Susan Johnson,80147760,Drama,2010-Present
Lynn Shelton,80177405,Drama,2010-Present
Farhan Alam,81160036,Drama,2010-Present
Chad Archibald,81173255,Drama,2010-Present
Brian Baugh,81078908,Drama,2010-Present
A. L. Vijay,81155784,Drama,2010-Present
Ryan Coogler,80201906,Drama,2010-Present
Ben Palmer,80052612,Drama,2010-Present
Chris Howe,81054495,Drama,2010-Present
Ken Kwapis,70212504,Drama,2010-Present
Park In-je,80187061,Drama,2010-Present
Rod Blackhurst,80081155,Drama,2010-Present
Jesse V. Johnson,80198585,Drama,2010-Present
Mahsun Kırmızıgül,70233894,Drama,2010-Present
Monique Gardenberg,81011955,Drama,2010-Present
Mike Flanagan,80128722,Drama,2010-Present
Jacob LaMendola,80182115,Drama,2010-Present
Ritesh Batra,80104068,Drama,2010-Present
Dylan Howitt,80119349,Drama,2010-Present
William Lau,80019931,Drama,2010-Present
Mana Yasuda,81053893,Drama,2010-Present
Brian De Palma,80200087,Drama,2010-Present
Mana Yasuda,81053892,Drama,2010-Present
Rizal Mantovani,81002850,Drama,2010-Present
Han Yan,81004470,Drama,2010-Present
Jeremy Saulnier,80157072,Drama,2010-Present
Kim A. Snyder,81001809,Drama,2010-Present
Raditya Dika,81002864,Drama,2010-Present
Rocky Soraya,81016750,Drama,2010-Present
Sunil Soraya,81002866,Drama,2010-Present
Álvaro Longoria,80992039,Drama,2010-Present
Brendan Byrne,80126507,Drama,2010-Present
Gupse Özay,81132443,Drama,2010-Present
Jim Mickle,80231903,Drama,2010-Present
Jumpei Mizusaki,81171121,Drama,2010-Present
Chi Fat Chan,81012295,Drama,2010-Present
Nabil Ayouch,80060037,Drama,2010-Present
Rob LaDuca,60003155,Drama,2010-Present
Mangesh Hadawale,81177238,Drama,2010-Present
Wong Kar Wai,70270775,Drama,2010-Present
Rob Cohen,80215923,Drama,2010-Present
Louis J. Horvitz,80151483,Drama,2010-Present
Linda Saffire,80173625,Drama,2010-Present
Luis Lopez,80005444,Drama,2010-Present
Otilia Portillo Padua,80244682,Drama,2010-Present
Le Van Kiet,81075519,Drama,2010-Present
Eric Summer,80166318,Drama,2010-Present
B. V. Nandini Reddy,81186758,Drama,2010-Present
B. V. Nandini Reddy,81186757,Drama,2010-Present
Mario Van Peebles,80108976,Drama,2010-Present
Ava DuVernay,80208155,Drama,2010-Present
Sonia Lowman,80198423,Drama,2010-Present
Benjamin Turner,80162144,Drama,2010-Present
Michael J. Bassett,81053953,Drama,2010-Present
Troy Miller,81074113,Drama,2010-Present
Tan Bing,80992496,Drama,2010-Present
Warren P. Sonoda,70304191,Drama,2010-Present
Álex de la Iglesia,80103311,Drama,2010-Present
Rahul Ravindran,81176200,Drama,2010-Present
Archie Borders,80208906,Drama,2010-Present
Bonni Cohen,80097321,Drama,2010-Present
Bobcat Goldthwait,80106966,Drama,2010-Present
Deepti Naval,81080769,Drama,2010-Present
Morgan Neville,70267838,Drama,2010-Present
Anthony Byrne,80211380,Drama,2010-Present
Chris Moukarbel,80196586,Drama,2010-Present
Ana Lily Amirpour,80099204,Drama,2010-Present
Alex Winter,80059432,Drama,2010-Present
Kemi Adetiba,81172721,Drama,2010-Present
Toka McBaror,81172727,Drama,2010-Present
Gilles Paquet-Brenner,70153543,Drama,2010-Present
Niyi Akinmolayan,81172728,Drama,2010-Present
Rashida Jones,80102952,Drama,2010-Present
Scott Aukerman,80243600,Drama,2010-Present
Mariano Barroso,81020523,Drama,2010-Present
Amara Cash,81122669,Drama,2010-Present
Kiko Cruz Claverol,81000389,Drama,2010-Present
